,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
111,0,2018,6,5,0,10,53.845,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
112,0,2018,6,5,0,14,7.147,25491081,6675702,-6087,-0.79,1,999999,999999,999999,999999
113,0,2018,6,5,0,15,23.869,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
114,0,2018,6,5,0,17,34.62,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
115,0,2018,6,5,0,18,23.803,25491081,6675702,-6087,-0.97,1,999999,999999,999999,999999
116,0,2018,6,5,0,20,17.31,25491081,6675702,-6087,-1.2,1,999999,999999,999999,999999
117,0,2018,6,5,0,21,2.927,25491081,6675702,-6087,-1.08,1,999999,999999,999999,999999
118,0,2018,6,5,0,21,21.096,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
119,0,2018,6,5,0,27,20.121,25491081,6675702,-6087,-1.31,1,999999,999999,999999,999999
120,0,2018,6,5,0,28,29.894,25491081,6675702,-6087,-0.96,1,999999,999999,999999,999999
121,0,2018,6,5,0,28,39.983,25491081,6675702,-6087,-0.88,1,999999,999999,999999,999999
122,0,2018,6,5,0,30,26.997,25491081,6675702,-6087,-1.26,1,999999,999999,999999,999999
123,0,2018,6,5,0,33,42.641,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
124,0,2018,6,5,0,34,17.738,25491081,6675702,-6087,-0.87,1,999999,999999,999999,999999
125,0,2018,6,5,0,34,39.746,25491081,6675702,-6087,-1.05,1,999999,999999,999999,999999
126,0,2018,6,5,0,34,48.525,25491081,6675702,-6087,-1.32,1,999999,999999,999999,999999
127,0,2018,6,5,0,36,41.874,25491081,6675702,-6087,-1.07,1,999999,999999,999999,999999
128,657,2018,6,5,0,37,26.926,25490861.17,6675456.477,-5689,0.12,0,36,12,109,26
129,659,2018,6,5,0,43,33.575,25491103.78,6675709.825,-6189,-0.49,0,28,14,165,28
130,0,2018,6,5,0,46,57.952,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
131,0,2018,6,5,0,54,50.63,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
132,0,2018,6,5,1,33,31.525,25491081,6675702,-6087,-0.45,1,999999,999999,999999,999999
133,0,2018,6,5,1,39,57.513,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
134,663,2018,6,5,1,40,22.522,25491079.75,6675645.626,-6079,-0.44,0,73,18,104,38
135,0,2018,6,5,1,40,27.581,25491081,6675702,-6087,-0.3,1,999999,999999,999999,999999
136,0,2018,6,5,1,41,8.204,25491081,6675702,-6087,-0.67,1,999999,999999,999999,999999
137,0,2018,6,5,1,41,26.953,25491081,6675702,-6087,-1.17,1,999999,999999,999999,999999
138,0,2018,6,5,1,41,37.237,25491081,6675702,-6087,-1.2,1,999999,999999,999999,999999
139,0,2018,6,5,1,43,20.869,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
140,0,2018,6,5,1,43,28.075,25491081,6675702,-6087,-1.09,1,999999,999999,999999,999999
141,0,2018,6,5,1,44,41.516,25491081,6675702,-6087,-0.82,1,999999,999999,999999,999999
142,0,2018,6,5,1,45,22.274,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
143,0,2018,6,5,1,46,38.302,25491081,6675702,-6087,-0.74,1,999999,999999,999999,999999
144,669,2018,6,5,1,49,13.366,25492267,6674889,-5469,-1.28,0,999999,999999,999999,999999
145,0,2018,6,5,1,49,52.387,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
146,0,2018,6,5,1,50,4.304,25491081,6675702,-6087,-1.28,1,999999,999999,999999,999999
147,0,2018,6,5,1,50,25.759,25491081,6675702,-6087,-1.25,1,999999,999999,999999,999999
148,0,2018,6,5,1,50,39.539,25491081,6675702,-6087,-0.89,1,999999,999999,999999,999999
149,0,2018,6,5,1,52,59.979,25491081,6675702,-6087,-1.14,1,999999,999999,999999,999999
150,0,2018,6,5,1,53,22.201,25491081,6675702,-6087,-1.35,1,999999,999999,999999,999999
151,0,2018,6,5,1,53,49.13,25491081,6675702,-6087,-1.35,1,999999,999999,999999,999999
152,671,2018,6,5,1,57,14.647,25490821.95,6676043.505,-6040,-0.97,0,118,63,120,69
153,0,2018,6,5,1,57,32.845,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
154,673,2018,6,5,1,57,40.468,25490988,6675780,-5512,-1.32,0,999999,999999,999999,999999
155,0,2018,6,5,1,57,50.979,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
156,0,2018,6,5,1,58,30.923,25491081,6675702,-6087,-0.76,1,999999,999999,999999,999999
157,0,2018,6,5,2,1,25.74,25491081,6675702,-6087,-0.78,1,999999,999999,999999,999999
158,0,2018,6,5,2,2,50.746,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
159,0,2018,6,5,2,5,21.967,25491081,6675702,-6087,-0.64,1,999999,999999,999999,999999
160,0,2018,6,5,2,5,39.801,25491081,6675702,-6087,-0.75,1,999999,999999,999999,999999
161,0,2018,6,5,2,9,34.95,25491081,6675702,-6087,-1.2,1,999999,999999,999999,999999
162,0,2018,6,5,2,11,57.435,25491081,6675702,-6087,-1.25,1,999999,999999,999999,999999
163,0,2018,6,5,2,15,8.388,25491081,6675702,-6087,-0.81,1,999999,999999,999999,999999
164,0,2018,6,5,2,16,27.956,25491081,6675702,-6087,-1.21,1,999999,999999,999999,999999
165,0,2018,6,5,2,17,46.731,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
166,0,2018,6,5,2,18,4.22,25491081,6675702,-6087,-1.25,1,999999,999999,999999,999999
167,0,2018,6,5,2,18,18.515,25491081,6675702,-6087,-1.29,1,999999,999999,999999,999999
168,0,2018,6,5,2,19,25.161,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
169,0,2018,6,5,2,19,49.961,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
170,0,2018,6,5,2,22,55.018,25491081,6675702,-6087,-1.29,1,999999,999999,999999,999999
171,0,2018,6,5,2,23,29.017,25491081,6675702,-6087,-1.22,1,999999,999999,999999,999999
172,0,2018,6,5,2,24,38.99,25491081,6675702,-6087,-1.27,1,999999,999999,999999,999999
173,679,2018,6,5,2,25,5.317,25492025,6673984,-6307,-0.75,0,999999,999999,999999,999999
174,0,2018,6,5,2,26,59.572,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
175,0,2018,6,5,2,27,9.183,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
176,0,2018,6,5,2,27,27.027,25491081,6675702,-6087,-0.5,1,999999,999999,999999,999999
177,0,2018,6,5,2,28,29.362,25491081,6675702,-6087,-0.19,1,999999,999999,999999,999999
178,0,2018,6,5,2,29,4.461,25491081,6675702,-6087,-0.92,1,999999,999999,999999,999999
179,0,2018,6,5,2,29,18.53,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
180,0,2018,6,5,2,30,51.594,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
181,0,2018,6,5,2,33,20.392,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
182,0,2018,6,5,2,35,7.863,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
183,0,2018,6,5,2,35,55.022,25491081,6675702,-6087,-1.19,1,999999,999999,999999,999999
184,0,2018,6,5,2,37,15.736,25491081,6675702,-6087,-0.97,1,999999,999999,999999,999999
